아름답다,美しい,Beautiful.png
빠르다,速い,Fast.png
느리다,遅い,Slow.png
높다,高い,High.png
낮다,低い,Low.png
크다,大きい,Big.png
작다,小さい,Small.png
길다,長い,Long.png
짧다,短い,Short.png
좋다,良い,Good.png
나쁘다,悪い,Bad.png
어렵다,難しい,Difficult.png
쉽다,簡単だ,Easy.png
덥다,暑い,Hot.png
춥다,寒い,Cold.png
비싸다,高い,Expensive.png
싸다,安い,Cheap.png
새롭다,新しい,New.png
오래되다,古い,Old.png
깨끗하다,清潔だ,Clean.png
더럽다,汚い,Dirty.png
친절하다,親切だ,Kind.png
무섭다,怖い,Scary.png
재미있다,面白い,Interesting.png
지루하다,退屈だ,Boring.png
행복하다,幸せだ,Happy.png
슬프다,悲しい,Sad.png
건강하다,健康だ,Healthy.png
아프다,痛い,Sick.png
강하다,強い,Strong.png
재미없다,つまらない,Uninteresting.png
달다,甘い,Sweet.png
쓰다,苦い,Bitter.png
짜다,塩辛い,Salty.png
시다,酸っぱい,Sour.png
맵다,辛い,Spicy.png
넓다,広い,Wide.png
좁다,狭い,Narrow.png
밝다,明るい,Bright.png
어둡다,暗い,Dark.png
무겁다,重い,Heavy.png
가볍다,軽い,Light.png
뜨겁다,熱い,Hot (temperature).png
차갑다,冷たい,Cold (temperature).png
젊다,若い,Young.png
늙다,老いた,Old (aged).png
새롭다,新しい,Fresh.png
부드럽다,柔らかい,Soft.png
딱딱하다,硬い,Hard.png
똑똑하다,賢い,Smart.png
바쁘다,忙しい,Busy.png
편하다,快適だ,Comfortable.png
불편하다,不便だ,Uncomfortable.png
조용하다,静かだ,Quiet.png
시끄럽다,うるさい,Noisy.png
유명하다,有名だ,Famous.png
이상하다,おかしい,Strange.png
뚱뚱하다,太っている,Fat.png
날씬하다,痩せている,Slim.png
짜증나다,イライラする,Annoying.png
불행하다,不幸だ,Unhappy.png
재미없다,面白くない,Uninteresting.png
멋있다,かっこいい,Cool.png
귀엽다,かわいい,Cute.png
편리하다,便利だ,Convenient.png
성가시다,厄介だ,Annoying.png
신기하다,不思議だ,Amazing.png
느끼다,感じる,Feel.png
슬프다,悲しい,Sad.png
놀랍다,驚く,Surprising.png
지루하다,退屈だ,Boring.png
피곤하다,疲れた,Tired.png
무섭다,怖い,Scary.png
부끄럽다,恥ずかしい,Shy.png
편안하다,安心だ,Relaxed.png
자랑스럽다,誇らしい,Proud.png
화나다,怒る,Angry.png
졸리다,眠い,Sleepy.png
배고프다,お腹が空いた,Hungry.png
목마르다,喉が渇いた,Thirsty.png
반갑다,嬉しい,Glad.png
익숙하다,慣れている,Familiar.png
낯설다,見慣れない,Unfamiliar.png
가난하다,貧しい,Poor.png
부유하다,裕福だ,Wealthy.png
배부르다,満腹だ,Full.png
시원하다,涼しい,Cool.png
따뜻하다,暖かい,Warm.png